Tanggal,Waktu,Suhu1,Suhu2,Suhu3,Suhu4,Suhu5,Suhu6,Suhu7,Suhu8,Suhu9,Suhu10,Suhu11,Suhu12,Suhu Luar1,Suhu Luar2,Suhu Luar3,Suhu Luar4,Suhu Rerata,Suhu Luar Rerata,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,RH9,RH10,RH11,RH12,RH Luar1,RH Luar2,RH Luar3,RH Luar4,RH Rerata,RH Luar Rerata,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10,IC11,IC12,IC Luar1,IC Luar2,IC Luar3,IC Luar4,IC Rerata,IC Luar Rerata,ID_Rumah_Kaca
2019-05-12,00:00:11,24,22,22,23,22,24,24,22,23,22,21,24,24,22,21,23,22.75,22.5,95,95,95,95,95,95,95,95,95,95,94,95,95,95,94,91,94.92,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:01:12,24,22,22,23,22,24,24,22,23,22,22,24,23,22,22,23,22.83,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,90,95.0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:02:12,24,22,22,23,23,24,24,22,23,22,22,24,23,22,22,23,22.92,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,90,95.0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:03:12,24,23,23,23,22,24,24,22,23,22,22,24,24,22,21,23,23.0,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,94,90,95.0,93.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:04:12,24,22,22,23,22,24,24,22,23,22,22,24,23,22,22,23,22.83,22.5,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,90,95.0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:05:13,24,22,22,23,22,24,24,22,23,21,22,24,23,21,21,23,22.75,22.0,95,95,95,95,95,95,95,95,95,94,95,95,95,94,94,90,94.92,93.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:06:13,25,22,22,23,22,24,24,22,23,22,22,24,24,22,22,23,22.92,22.75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,90,95.0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:07:13,24,22,22,22,23,23,24,22,23,22,22,24,24,22,22,23,22.75,22.75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,90,95.0,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:08:13,24,22,23,22,22,23,24,22,22,22,22,24,24,22,22,23,22.67,22.75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,91,95.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-12,00:09:13,24,22,22,22,22,23,24,22,23,22,23,24,24,22,22,23,22.75,22.75,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,91,95.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
